"Part";"Value";"Device";"Package";"Description";"";
"BATTERY_1";"BATTERY_1236_C";"BATTERY_1236_C";"BATTERY_1236_C";"SOC004";"";
"BATTERY_2";"BATTERY_1236_C";"BATTERY_1236_C";"BATTERY_1236_C";"SOC004";"";
"BATTERY_3";"BATTERY_1236_C";"BATTERY_1236_C";"BATTERY_1236_C";"SOC004";"";
"BUTTA";"PTS645";"PTS645";"PTS645_SMD";"";"";
"BUTTB";"PTS645";"PTS645";"PTS645_SMD";"";"";
"BUZZ";"F/QMX";"F/QMX";"F/QMX";"BUZZER Source: Buerklin";"";
"C1";"22pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C2";"22pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C3";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"EYE_LEFT";"1451";"1451";"LED_1451";"Diffused 'Piranha' Super-flux RGB (tri-color) LED (10 pack)";"";
"EYE_RIGHT";"1451";"1451";"LED_1451";"Diffused 'Piranha' Super-flux RGB (tri-color) LED (10 pack)";"";
"JP1";"";"PINHD-2X2";"2X02";"PIN HEADER";"";
"OLED";"";"MA07-1";"MA07-1";"PIN HEADER";"";
"PWRLED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"R1";"22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"270";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"270";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"220";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"220";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"220";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"270";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"RESET";"PTS645";"PTS645";"PTS645_SMD";"";"";
"RXLED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"SW3";"JS202011AQN";"JS202011AQN";"JS202011AQN";"";"";
"TXLED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"U$1";"AVRISP_POGO";"AVRISP_POGO";"AVRISP_POGO";"";"";
"U$2";"JS5208";"JS5208";"JS5208_PKG";"";"";
"U1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"http://www.ladyada.net/library/eagle";"";
"USB";"MINI-USB-UX60-MB-5S8";"MINI-USB-UX60-MB-5S8";"UX60-MB-5S8";"MINI USB Connector";"";
"X1";"16.000MHz";"CSM-7X-DU";"CSM-7X-DU";"SMD CRYSTAL";"";
